#,RAJ_decimal,DECJ_decimal,Gl,P0,BSURF
1,11.047,52.854,121.525,0.002462,771301425896.0
2,9.912,-33.634,265.567,0.002615,293420219206.0
3,3.994,36.816,286.932,0.003482,215566972489.0
4,6.066,51.648,284.609,0.003013,1383232843805.0
5,7.075,15.418,134.834,0.004473,378584720764.0
6,12.055,42.854,225.14,0.00282,1386749202921.0
7,3.104,-11.365,265.993,0.00287,8383996582.0
8,4.874,33.318,122.614,0.003273,585267977642.0
9,8.161,33.875,289.581,0.003325,1339992008293.0
10,11.009,-1.8,92.675,0.003639,989245246475.0
11,10.062,25.809,220.705,0.004785,7100549793.0
12,8.183,61.234,236.757,0.002662,1027039987668.0
13,3.87,-67.703,196.204,0.003171,113927265895.0
14,7.191,-62.128,200.724,0.003063,1263507444968.0
15,4.625,-16.494,216.527,0.005241,1398495123141.0
16,4.361,28.668,197.94,0.004823,939064978639.0
17,3.619,52.816,218.772,0.002323,387498405866.0
18,6.759,16.549,125.035,0.003286,644656752339.0
19,2.883,-14.273,122.647,0.003163,258957372858.0
20,9.112,-72.009,230.761,0.002682,982238729713.0
21,8.862,-60.641,282.896,0.004997,282279778282.0
22,12.531,-14.705,173.939,0.003867,89233211621.0
23,10.766,-46.618,113.49,0.00449,1029647329367.0
24,7.964,64.333,108.577,0.003963,709067291004.0
25,5.102,-55.773,301.72,0.005759,521388550251.0
26,1.002,86.288,245.775,0.004592,70033259843.0
27,9.378,-20.391,148.413,0.005059,218691449550.0
28,13.225,85.879,194.001,0.003295,275776804519.0
29,12.406,57.095,88.025,0.002153,174857669355.0
30,10.114,-67.813,232.932,0.002031,799913553437.0
31,11.572,40.71,292.891,0.002637,1289342967090.0
32,3.287,26.884,95.107,0.002911,537747427597.0
33,3.532,-38.066,295.696,0.003522,599936599319.0
34,0.704,-2.835,73.351,0.002461,813522440362.0
35,6.054,-59.104,276.276,0.003524,240985520717.0
36,12.744,63.628,85.103,0.00517,721905430354.0
37,2.942,44.443,253.507,0.004538,1009360765393.0
38,4.062,74.23,89.021,0.002279,554284250336.0
39,5.204,-17.994,109.817,0.003509,853644549379.0
40,1.19,-22.953,111.354,0.003949,608619648275.0
41,6.545,21.292,79.075,0.005187,1526244969116.0
42,11.871,-50.242,68.515,0.004802,1061740348862.0
43,13.93,69.823,281.595,0.003384,1102567404593.0
44,14.388,-49.899,267.938,0.004162,537428499316.0
45,3.229,25.188,161.569,0.005188,263577488526.0
46,2.408,22.231,231.574,0.00282,255008076904.0
47,10.043,23.437,167.264,0.003629,832639503224.0
48,12.053,10.253,193.637,0.00592,634451265406.0
49,1.804,4.885,186.144,0.004042,1308162083325.0
50,1.393,24.349,232.947,0.002076,1010334345829.0
51,12.341,15.033,170.407,0.002046,336972420935.0
52,11.615,-62.342,171.907,0.002739,752495436740.0
53,5.427,-41.113,170.521,0.002167,687324129775.0
54,1.349,58.041,141.382,0.003296,730889913695.0
55,7.466,76.122,91.21,0.00388,1245518879158.0
56,9.192,-22.181,153.459,0.00455,1481861604464.0
57,2.327,-39.372,131.006,0.003522,1298508066216.0
58,13.589,8.33,137.371,0.002931,35364031019.0
59,8.413,-18.72,158.498,0.004883,1404081359737.0
60,3.083,79.579,186.626,0.003768,368612387659.0
61,12.073,86.827,170.806,0.002898,1259708709762.0
62,1.203,-51.371,250.784,0.002697,1475353852972.0
63,7.675,-70.576,144.324,0.005869,773781607747.0
64,4.256,-7.031,215.818,0.00255,1367957702283.0
65,6.41,-61.07,164.119,0.00434,120500539370.0
